sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0356	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03995	s0356-21N03995-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03995_S159_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03995_S159_L001_R2_001.fastq.gz	367926.725	395739.64
s0356	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03995	s0356-21N03995-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03995_S159_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03995_S159_L002_R2_001.fastq.gz	373646.092	402758.509
s0357	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03996	s0357-21N03996-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03996_S161_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03996_S161_L001_R2_001.fastq.gz	475866.035	480092.406
s0357	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03996	s0357-21N03996-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03996_S161_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03996_S161_L002_R2_001.fastq.gz	476889.27	480830.679
s0358	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03997	s0358-21N03997-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03997_S162_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03997_S162_L001_R2_001.fastq.gz	418091.56	443017.703
s0358	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03997	s0358-21N03997-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03997_S162_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03997_S162_L002_R2_001.fastq.gz	420610.329	446393.38
s0359	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03998	s0359-21N03998-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03998_S163_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03998_S163_L001_R2_001.fastq.gz	325367.381	342528.743
s0359	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03998	s0359-21N03998-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03998_S163_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03998_S163_L002_R2_001.fastq.gz	328699.31	346432.007
s0360	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03999	s0360-21N03999-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03999_S164_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03999_S164_L001_R2_001.fastq.gz	401776.762	419225.342
s0360	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03999	s0360-21N03999-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03999_S164_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03999_S164_L002_R2_001.fastq.gz	397234.666	415088.04
